[1742428394.891479] Total packets to send: 543
[1742428394.891639] Header packet sent.
[1742428395.048279] Packet 0: Timeout. Retransmitting.
[1742428395.110828] Packet 0: Timeout. Retransmitting.
[1742428395.182325] Packet 0: Timeout. Retransmitting.
[1742428395.264321] Packet 0: Timeout. Retransmitting.
[1742428395.3568041] Packet 0: Timeout. Retransmitting.
[1742428395.459299] Packet 0: Timeout. Retransmitting.
[1742428395.571716] Packet 0: Timeout. Retransmitting.
[1742428395.693121] Packet 0: Timeout. Retransmitting.
[1742428395.8247192] Packet 0: Timeout. Retransmitting.
[1742428395.9666078] Packet 0: Timeout. Retransmitting.
[1742428396.118237] Packet 0: Timeout. Retransmitting.
[1742428396.2800598] Packet 0: Timeout. Retransmitting.
[1742428396.452627] Packet 0: Timeout. Retransmitting.
[1742428396.63488] Packet 0: Timeout. Retransmitting.
[1742428396.827755] Packet 0: Timeout. Retransmitting.
[1742428397.030442] Packet 0: Timeout. Retransmitting.
[1742428397.2328699] Packet 0: Timeout. Retransmitting.
[1742428397.4348931] Packet 0: Timeout. Retransmitting.
[1742428397.637114] Packet 0: Timeout. Retransmitting.
[1742428397.8389618] Packet 0: Timeout. Retransmitting.
[1742428398.0417101] Packet 0: Timeout. Retransmitting.
[1742428398.244284] Packet 0: Timeout. Retransmitting.
[1742428398.446284] Packet 0: Timeout. Retransmitting.
[1742428398.6487] Packet 0: Timeout. Retransmitting.
[1742428398.850574] Packet 0: Timeout. Retransmitting.
[1742428399.052994] Packet 0: Timeout. Retransmitting.
[1742428399.2544909] Packet 0: Timeout. Retransmitting.
[1742428399.4561548] Packet 0: Timeout. Retransmitting.
[1742428399.657602] Packet 0: Timeout. Retransmitting.
[1742428399.859809] Packet 0: Timeout. Retransmitting.
[1742428400.061615] Packet 0: Timeout. Retransmitting.
[1742428400.2636428] Packet 0: Timeout. Retransmitting.
[1742428400.465893] Packet 0: Timeout. Retransmitting.
[1742428400.667538] Packet 0: Timeout. Retransmitting.
[1742428400.868714] Packet 0: Timeout. Retransmitting.
[1742428401.0705411] Packet 0: Timeout. Retransmitting.
[1742428401.272298] Packet 0: Timeout. Retransmitting.
[1742428401.4747012] Packet 0: Timeout. Retransmitting.
[1742428401.677505] Packet 0: Timeout. Retransmitting.
[1742428401.879104] Packet 0: Timeout. Retransmitting.
[1742428402.08094] Packet 0: Timeout. Retransmitting.
[1742428402.283398] Packet 0: Timeout. Retransmitting.
