Packet Log - Server Side
Timestamp | Packet # | Action | Checksum | Status
Packet Log - Client Side
Timestamp | Packet # | Action | Checksum | Status
1740361041.034399 | 0 | Sent | 115 | Success
1740361041.034559 | 0 | Received | 115 | Success
1740361041.03482 | 1 | Sent | 193 | Success
1740361041.0349061 | 1 | Received | 193 | Success
1740361041.034979 | 1 | Corrupt ACK | 193 | Resent ACK
1740361041.03507 | 1 | Resent | 193 | Incorrect ACK
1740361041.035129 | 1 | Sent | 193 | Success
1740361041.0351958 | 1 | Corrupt Packet | 193 | Resent ACK
1740361041.035326 | 0 | Sent | 14 | Success
1740361041.0353842 | 0 | Received | 14 | Success
1740361041.035508 | 1 | Sent | 205 | Success
1740361041.0355682 | 1 | Received | 205 | Success
1740361041.0356858 | 0 | Sent | 7 | Success
1740361041.035743 | 0 | Received | 7 | Success
1740361041.0357811 | 0 | Corrupt ACK | 7 | Resent ACK
1740361041.03586 | 0 | Resent | 7 | Incorrect ACK
1740361041.0358999 | 0 | Sent | 7 | Success
1740361041.035962 | 0 | Corrupt Packet | 7 | Resent ACK
1740361041.036082 | 1 | Sent | 119 | Success
1740361041.0361412 | 1 | Received | 119 | Success
1740361041.036172 | 1 | Corrupt ACK | 119 | Resent ACK
1740361041.036244 | 1 | Resent | 119 | Incorrect ACK
1740361041.036295 | 1 | Sent | 119 | Success
1740361041.0363588 | 1 | Corrupt Packet | 119 | Resent ACK
1740361041.036465 | 0 | Sent | 220 | Success
1740361041.036543 | 0 | Received | 220 | Success
1740361041.036587 | 0 | Corrupt ACK | 220 | Resent ACK
1740361041.03666 | 0 | Resent | 220 | Incorrect ACK
1740361041.036698 | 0 | Sent | 220 | Success
1740361041.0367491 | 0 | Corrupt Packet | 220 | Resent ACK
1740361041.0368881 | 1 | Sent | 75 | Success
1740361041.03695 | 1 | Received | 75 | Success
1740361041.036989 | 1 | Corrupt ACK | 75 | Resent ACK
1740361041.037056 | 1 | Resent | 75 | Incorrect ACK
1740361041.0370948 | 1 | Sent | 75 | Success
1740361041.037148 | 1 | Corrupt Packet | 75 | Resent ACK
1740361041.0372522 | 0 | Sent | 67 | Success
1740361041.03731 | 0 | Received | 67 | Success
1740361041.0373418 | 0 | Corrupt ACK | 67 | Resent ACK
1740361041.037411 | 0 | Resent | 67 | Incorrect ACK
1740361041.0374558 | 0 | Sent | 67 | Success
1740361041.037507 | 0 | Corrupt Packet | 67 | Resent ACK
1740361041.037611 | 1 | Sent | 100 | Success
1740361041.037668 | 1 | Received | 100 | Success
1740361041.0377028 | 1 | Corrupt ACK | 100 | Resent ACK
1740361041.037767 | 1 | Resent | 100 | Incorrect ACK
1740361041.0378098 | 1 | Sent | 100 | Success
1740361041.037875 | 1 | Corrupt Packet | 100 | Resent ACK
1740361041.0379891 | 0 | Sent | 49 | Success
1740361041.038053 | 0 | Received | 49 | Success
1740361041.0380878 | 0 | Corrupt ACK | 49 | Resent ACK
1740361041.0381598 | 0 | Resent | 49 | Incorrect ACK
1740361041.0382059 | 0 | Sent | 49 | Success
1740361041.03826 | 0 | Corrupt Packet | 49 | Resent ACK
1740361041.038371 | 1 | Sent | 19 | Success
1740361041.0384572 | 1 | Received | 19 | Success
1740361041.038552 | 0 | Sent | 80 | Success
1740361041.0386 | 0 | Received | 80 | Success
1740361041.038642 | 0 | Corrupt ACK | 80 | Resent ACK
1740361041.038696 | 0 | Resent | 80 | Incorrect ACK
1740361041.038732 | 0 | Sent | 80 | Success
1740361041.0387762 | 0 | Corrupt Packet | 80 | Resent ACK
1740361041.0388649 | 1 | Sent | 24 | Success
1740361041.038913 | 1 | Received | 24 | Success
1740361041.0389462 | 1 | Corrupt ACK | 24 | Resent ACK
1740361041.038999 | 1 | Resent | 24 | Incorrect ACK
1740361041.0390341 | 1 | Sent | 24 | Success
1740361041.039078 | 1 | Corrupt Packet | 24 | Resent ACK
1740361041.039187 | 0 | Sent | 139 | Success
1740361041.039244 | 0 | Received | 139 | Success
1740361041.039281 | 0 | Corrupt ACK | 139 | Resent ACK
1740361041.039381 | 0 | Resent | 139 | Incorrect ACK
1740361041.039436 | 0 | Sent | 139 | Success
1740361041.0395808 | 0 | Corrupt Packet | 139 | Resent ACK
1740361041.039833 | 1 | Sent | 131 | Success
1740361041.040001 | 1 | Received | 131 | Success
1740361041.040042 | 1 | Corrupt ACK | 131 | Resent ACK
1740361041.040149 | 1 | Resent | 131 | Incorrect ACK
1740361041.0402932 | 1 | Corrupt Packet | 131 | Resent ACK
1740361041.040266 | 1 | Sent | 131 | Success
1740361041.040488 | 0 | Sent | 17 | Success
1740361041.0405319 | 0 | Received | 17 | Success
1740361041.040566 | 0 | Corrupt ACK | 17 | Resent ACK
1740361041.040622 | 0 | Resent | 17 | Incorrect ACK
1740361041.040666 | 0 | Sent | 17 | Success
1740361041.040738 | 0 | Corrupt Packet | 17 | Resent ACK
1740361041.040873 | 1 | Sent | 126 | Success
1740361041.0409138 | 1 | Received | 126 | Success
1740361041.040947 | 1 | Corrupt ACK | 126 | Resent ACK
1740361041.041 | 1 | Resent | 126 | Incorrect ACK
1740361041.04107 | 1 | Sent | 126 | Success
1740361041.041116 | 1 | Corrupt Packet | 126 | Resent ACK
1740361041.041235 | 0 | Sent | 251 | Success
1740361041.041278 | 0 | Received | 251 | Success
1740361041.041313 | 0 | Corrupt ACK | 251 | Resent ACK
1740361041.041366 | 0 | Resent | 251 | Incorrect ACK
1740361041.041406 | 0 | Sent | 251 | Success
1740361041.041447 | 0 | Corrupt Packet | 251 | Resent ACK
1740361041.0415459 | 1 | Sent | 91 | Success
1740361041.0415921 | 1 | Received | 91 | Success
1740361041.041628 | 1 | Corrupt ACK | 91 | Resent ACK
1740361041.0416782 | 1 | Resent | 91 | Incorrect ACK
1740361041.041715 | 1 | Sent | 91 | Success
1740361041.041758 | 1 | Corrupt Packet | 91 | Resent ACK
1740361041.0418482 | 0 | Sent | 116 | Success
1740361041.041916 | 0 | Received | 116 | Success
1740361041.041949 | 0 | Corrupt ACK | 116 | Resent ACK
1740361041.042001 | 0 | Resent | 116 | Incorrect ACK
1740361041.042042 | 0 | Sent | 116 | Success
1740361041.042142 | 0 | Corrupt Packet | 116 | Resent ACK
1740361041.0426629 | 1 | Sent | 79 | Success
1740361041.042969 | 1 | Received | 79 | Success
1740361041.043277 | 1 | Corrupt ACK | 79 | Resent ACK
1740361041.0434911 | 1 | Resent | 79 | Incorrect ACK
1740361041.0440152 | 1 | Sent | 79 | Success
1740361041.04416 | 1 | Corrupt Packet | 79 | Resent ACK
1740361041.044526 | 0 | Sent | 116 | Success
1740361041.044738 | 0 | Received | 116 | Success
1740361041.04488 | 1 | Sent | 250 | Success
1740361041.0449438 | 1 | Received | 250 | Success
1740361041.044987 | 1 | Corrupt ACK | 250 | Resent ACK
1740361041.045044 | 1 | Resent | 250 | Incorrect ACK
1740361041.045088 | 1 | Sent | 250 | Success
1740361041.0451672 | 1 | Corrupt Packet | 250 | Resent ACK
1740361041.0452769 | 0 | Sent | 151 | Success
1740361041.045325 | 0 | Received | 151 | Success
1740361041.045446 | 1 | Sent | 175 | Success
1740361041.045488 | 1 | Received | 175 | Success
1740361041.045584 | 1 | Corrupt ACK | 175 | Resent ACK
1740361041.045654 | 1 | Resent | 175 | Incorrect ACK
1740361041.0456939 | 1 | Sent | 175 | Success
1740361041.045749 | 1 | Corrupt Packet | 175 | Resent ACK
1740361041.045918 | 0 | Sent | 173 | Success
1740361041.045967 | 0 | Received | 173 | Success
1740361041.046004 | 0 | Corrupt ACK | 173 | Resent ACK
1740361041.0460632 | 0 | Resent | 173 | Incorrect ACK
1740361041.046116 | 0 | Sent | 173 | Success
1740361041.0461571 | 0 | Corrupt Packet | 173 | Resent ACK
1740361041.046253 | 1 | Sent | 166 | Success
1740361041.046301 | 1 | Received | 166 | Success
1740361041.046411 | 0 | Sent | 183 | Success
1740361041.046452 | 0 | Received | 183 | Success
1740361041.0464919 | 0 | Corrupt ACK | 183 | Resent ACK
1740361041.0465438 | 0 | Resent | 183 | Incorrect ACK
1740361041.0466108 | 0 | Sent | 183 | Success
1740361041.046651 | 0 | Corrupt Packet | 183 | Resent ACK
1740361041.04675 | 1 | Sent | 1 | Success
1740361041.04679 | 1 | Received | 1 | Success
1740361041.046823 | 1 | Corrupt ACK | 1 | Resent ACK
1740361041.0468748 | 1 | Resent | 1 | Incorrect ACK
1740361041.046913 | 1 | Sent | 1 | Success
1740361041.046953 | 1 | Corrupt Packet | 1 | Resent ACK
1740361041.047046 | 0 | Sent | 169 | Success
1740361041.0470982 | 0 | Received | 169 | Success
1740361041.047213 | 1 | Sent | 252 | Success
1740361041.0472682 | 1 | Received | 252 | Success
1740361041.0473092 | 1 | Corrupt ACK | 252 | Resent ACK
1740361041.0473778 | 1 | Resent | 252 | Incorrect ACK
1740361041.047418 | 1 | Sent | 252 | Success
1740361041.0474691 | 1 | Corrupt Packet | 252 | Resent ACK
1740361041.0475829 | 0 | Sent | 27 | Success
1740361041.047629 | 0 | Received | 27 | Success
1740361041.0477529 | 1 | Sent | 75 | Success
1740361041.047806 | 1 | Received | 75 | Success
1740361041.047839 | 1 | Corrupt ACK | 75 | Resent ACK
1740361041.0479062 | 1 | Resent | 75 | Incorrect ACK
1740361041.047947 | 1 | Sent | 75 | Success
1740361041.047992 | 1 | Corrupt Packet | 75 | Resent ACK
1740361041.048102 | 0 | Sent | 107 | Success
1740361041.0481448 | 0 | Received | 107 | Success
1740361041.048185 | 0 | Corrupt ACK | 107 | Resent ACK
1740361041.048262 | 0 | Resent | 107 | Incorrect ACK
1740361041.0483031 | 0 | Sent | 107 | Success
1740361041.048357 | 0 | Corrupt Packet | 107 | Resent ACK
1740361041.048469 | 1 | Sent | 162 | Success
1740361041.048548 | 1 | Received | 162 | Success
1740361041.048774 | 0 | Sent | 10 | Success
1740361041.048863 | 0 | Received | 10 | Success
1740361041.048932 | 0 | Corrupt ACK | 10 | Resent ACK
1740361041.049031 | 0 | Resent | 10 | Incorrect ACK
1740361041.049075 | 0 | Sent | 10 | Success
1740361041.0491672 | 0 | Corrupt Packet | 10 | Resent ACK
1740361041.049398 | 1 | Sent | 130 | Success
1740361041.049443 | 1 | Received | 130 | Success
1740361041.0495412 | 0 | Sent | 38 | Success
1740361041.0495832 | 0 | Received | 38 | Success
1740361041.049618 | 0 | Corrupt ACK | 38 | Resent ACK
1740361041.0496671 | 0 | Resent | 38 | Incorrect ACK
1740361041.0497122 | 0 | Sent | 38 | Success
1740361041.0497751 | 0 | Corrupt Packet | 38 | Resent ACK
1740361041.049896 | 1 | Sent | 232 | Success
1740361041.049974 | 1 | Received | 232 | Success
1740361041.050009 | 1 | Corrupt ACK | 232 | Resent ACK
1740361041.0500622 | 1 | Resent | 232 | Incorrect ACK
1740361041.0501099 | 1 | Sent | 232 | Success
1740361041.0501509 | 1 | Corrupt Packet | 232 | Resent ACK
1740361041.050252 | 0 | Sent | 31 | Success
1740361041.050294 | 0 | Received | 31 | Success
1740361041.0503821 | 1 | Sent | 193 | Success
